ind,GEO,LON,LAT,Source,Cluster1,Cluster2,Cluster3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,filt_Cluster1,filt_Cluster2,filt_PC1,filt_PC2,filt_PC3,filt_PC4,filt_PC5,filt_PC6,filt_PC7,filt_PC8,filt_PC9,filt_PC10,filt_PC11,filt_PC12,filt_PC13,filt_PC14,filt_PC15,filt_PC16,filt_PC17,filt_PC18,filt_PC19,filt_PC20,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_12
099_4,Connecticut,-71.95676,41.9233,Wild,0.013185,0.986809,6e-6,-0.0264684,0.00558804,-0.0110516,0.0133855,-0.00154864,-6.10804e-4,-0.00276327,0.00469328,-0.038877,0.0122798,-0.0172819,0.0183195,0.0142953,0.0144365,-0.0313936,-0.0239837,0.00746456,0.0136942,0.0319469,0.0462078,0.999894,1.06e-4,0.0595063,-0.0135079,0.078238,-0.01976,0.0396183,0.0211692,0.111192,-0.0113678,0.0222479,-0.0133197,-0.00676593,-0.075359400000000007,0.234806,0.0528981,0.368115,0.175186,-0.107834,-0.0888699,-0.0349589,-0.0111628,8.79366683959961,1216
108_9,New Hampshire,-71.61115,42.87887,Wild,6e-6,0.999988,6e-6,-0.0282619,0.0107066,-0.0109104,0.0137825,0.00416849,0.00270315,0.00460978,0.00748479,-0.0492379,-0.00191175,-0.0199088,0.0204365,0.00444517,4.46772e-4,-0.0183529,-0.0315368,-7.73902e-4,0.0149201,-0.0178014,0.0257545,0.99992,8e-5,0.0635736,-0.0314679,0.0567769,-0.0725958,0.0695001,0.0047551,-0.291507,-0.0508573,0.0100925,-0.0249437,0.0441469,0.0233783,0.0366123,0.0437933,0.0156065,0.0052011,0.0356492,0.00926679,0.0160682,-0.0242567,7.959666728973389,1077
030_2,North Carolina,-81.25607,36.39142,Wild,6e-6,0.999988,5e-6,-0.0286659,0.00832227,-0.0127639,0.0163642,-0.011984,-0.00458651,-0.00641584,-0.0136862,0.0385127,0.00510695,-0.00946172,0.0190969,0.00536108,0.020127,0.0691196,0.0394896,-0.00898004,-0.00735359,0.0137516,-0.0113058,1.29e-4,0.999871,-0.0401253,0.0973031,-0.00446841,-0.00590105,-0.0192549,-0.101199,0.00985403,0.018376,-0.290019,-0.165651,0.124248,0.0424534,0.0713859,0.0366381,0.0246429,-0.213178,-0.134429,0.0276042,-0.0145513,-0.0386099,10.625499725341797,1353
099_1,Connecticut,-71.95676,41.9233,Wild,0.040953,0.95904,6e-6,-0.024181,0.00241549,-0.0104485,0.0051299,6.55563e-4,-0.00156232,-0.00244374,0.00704037,-0.0511125,0.00512381,-0.01528,0.0209777,0.0184148,0.0146861,-0.0397337,-0.0283981,0.00892281,0.00420831,0.039015,0.0703576,0.999907,9.3e-5,0.0708029,-0.0224215,0.069123,-0.0206926,0.0547852,0.0229414,0.124451,-0.0212013,0.0141532,0.00145291,-0.00236834,-0.0930935,0.256338,0.0596469,0.428042,0.184852,-0.122658,-0.110749,-0.0522467,-0.00725386,8.79366683959961,1216
030_3,North Carolina,-81.25607,36.39142,Wild,6e-6,0.999989,5e-6,-0.0304472,0.0104105,-0.0116663,0.0173311,-0.0097586,-6.95073e-4,-0.00396559,-0.0135019,0.0306096,0.00272996,-0.00902645,0.013499,0.0112018,0.0168383,0.0630113,0.0364357,-0.0104736,0.0136997,0.00232009,-0.0215801,1.35e-4,0.999865,-0.0349868,0.0870828,0.0105857,-0.00768376,-0.0152148,-0.0950188,0.00706734,0.00629748,-0.230294,-0.145777,0.099857,0.0443896,0.0682991,0.0257226,0.0047704,-0.167115,-0.141483,0.0253544,-0.0187543,-0.029549,10.625499725341797,1353
030_4,North Carolina,-81.25607,36.39142,Wild,6e-6,0.999989,5e-6,-0.0298843,0.0101358,-0.0113852,0.0180991,-0.0113439,-0.00505262,6.2824e-4,-0.0105694,0.0335251,0.0100078,-0.00556624,0.0230426,0.012631,0.0201885,0.0602669,0.0352409,-0.00550204,0.00455976,0.00449885,-0.0253732,0.04673,0.95327,-0.0355844,0.0877106,-0.0075797,0.0057759,-0.0189756,-0.066177,0.00622451,0.00478342,-0.180383,-0.121334,0.106978,0.0189356,0.0539226,0.0398854,0.0178188,-0.104406,-0.0979183,-0.017346,-0.0143929,-0.0441135,10.625499725341797,1353
030_5,North Carolina,-81.25607,36.39142,Wild,6e-6,0.999988,5e-6,-0.0299578,0.00908117,-0.0126467,0.0209968,-0.0107231,-0.00453816,-0.00128389,-0.0105778,0.036468,0.00269288,-0.00420296,0.0220551,0.00849275,0.0208824,0.060997,0.0490188,-0.0101218,0.00421773,-0.00123468,-0.0221113,1.24e-4,0.999876,-0.0386726,0.0961549,-5.27722e-4,-0.00649849,-0.0104234,-0.0808491,0.00237017,0.00667132,-0.226796,-0.150259,0.122435,0.0350758,0.0754307,0.0330397,0.0199052,-0.197867,-0.13472,0.0149386,-0.022492,-0.033219,10.625499725341797,1353
483164,Pennsylvania,-76.118074,40.699165,Conserved,0.012613,0.747112,0.240275,0.0407308,0.0445235,-0.0199642,0.00785444,-0.0147743,0.00745051,0.0336818,-0.00437596,0.0129414,-9.86443e-4,0.011018,0.00171834,0.00226144,0.00225138,-0.00825765,0.0164743,0.0277251,0.0189988,0.0475648,0.0265957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.433666229248049,1191
040_3,Virginia,-80.39236,36.78126,Wild,0.167547,0.832447,6e-6,-0.00824226,-0.0177058,-0.0163407,-0.029464,-0.0174152,-0.019127,-0.00175971,7.43476e-4,0.0801871,-0.0613727,0.0239401,-0.0512723,-0.052042,-0.0184253,-0.00211862,-0.0371163,0.0137365,-0.0147155,-0.0750149,0.11769399999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.297666549682615,1176
588277,Unknown,NA,NA,Conserved,6e-6,0.678579,0.321415,0.0115386,-4.27004e-4,0.180512,0.0334163,0.150348,-0.159377,0.0619492,-0.00511221,-0.0178734,0.00247667,-0.033778,0.00265984,0.0109416,0.0135385,-0.00958809,-0.0126913,-6.94852e-5,0.014725,0.0185457,0.0203072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
